q	X11	X12	X21	X31	X32
1	37.2	59.5	99.5	31.5	2505
2	39.4	62.2	104.1	32.4	2675
3	36.4	60.7	106.5	33.4	2828
4	38.0	63.5	109.7	34.8	3037
5	40.3	70.4	110.8	36.7	3239
6	38.9	72.5	113.5	38.8	3489
7	40.5	75	112.7	40.5	3740
8	41.8	82.1	115.5	41.8	4000
9	54.9	102.8	108.8	44.4	4481
10	53.2	102.1	115.7	49.3	4855
11	59.4	102.8	118.8	53.8	5291
12	59.7	96.9	127.5	56.9	5744
13	60.1	92	124	60.6	6262
14	66.5	124.0	117.9	65.2	6968
15	68.0	154.0	105.5	72.6	7682
16	72.0	162.1	103.4	82.4	8421
17	73.7	162.8	104.3	90.9	9243
18	71.6	165.6	103.7	96.5	9724
19	72.8	162.2	105.7	99.6	10340
20	81.4	163.5	105.5	103.9	11257
21	76.0	158.8	106.5	107.6	11861
22	84.0	157.4	107.3	109.6	12469
23	78.0	164.9	103.3	113.6	13094
24	85.4	250.3	102.8	118.3	14477
25	92.7	265.7	97.7	124	15307
26	89.9	281.0	95.8	130.7	16205
27	88.0	288.3	94.9	136.2	16766
28	86.9	284.6	94.1	140.3	17636
29	89.0	293.4	92.0	144.5	18153
30	90.1	282.9	95.2	148.2	19003
31	91.7	284.3	95.5	152.4	20604
32	97.3	280.2	95.7	156.9	21375
33	100.2	279.5	93.6	160.5	22312
34	104.2	277.1	95.0	163	23016
35	105.6	287.8	96.2	166.6	23693
36	107.1	306.4	96.5	172.2	24908
